N,P,K,temperature,humidity,ph,rainfall,crop
92,37,100,31.5,72.2,6.8,116.9,Cotton
91,49,37,27.1,67.7,6.3,98.5,Maize
61,59,41,22.2,64.9,6.7,187.7,Wheat
91,58,42,29.6,68.6,6.2,133.3,Maize
20,62,129,20.3,53.2,7.6,82.4,Alfalfa
92,66,28,28.2,61.3,6.5,162.2,Maize
92,57,85,32.9,69.3,7.1,73.6,Cotton
70,39,101,25.3,72.0,6.2,110.2,Cotton
115,52,85,29.3,55.0,6.7,126.3,Cotton
22,72,137,18.9,58.7,7.6,99.5,Alfalfa
127,66,44,29.0,78.7,6.5,147.4,Maize
27,86,134,23.7,47.6,6.9,117.3,Alfalfa
35,70,129,21.1,56.4,6.8,51.0,Alfalfa
103,57,41,27.6,60.8,6.6,142.0,Maize
17,75,104,26.6,54.7,7.3,119.3,Alfalfa
33,61,109,19.4,54.5,7.2,110.8,Alfalfa
28,93,127,23.3,45.3,7.8,118.7,Alfalfa
123,51,99,34.4,62.6,7.4,135.0,Cotton
37,77,122,27.3,55.8,6.6,95.1,Alfalfa
100,51,39,20.5,65.0,7.0,162.1,Wheat
81,56,101,30.8,61.3,7.4,65.5,Cotton
127,40,35,24.5,69.1,6.4,171.0,Maize
125,60,109,33.8,64.6,7.2,117.8,Cotton
105,50,32,20.9,71.9,6.4,86.7,Maize
109,56,44,28.8,77.7,6.4,101.1,Maize
106,53,45,18.8,66.0,7.1,118.8,Wheat
34,76,130,27.7,51.6,7.6,54.4,Alfalfa
129,41,91,33.2,71.3,7.4,67.7,Cotton
16,66,133,22.7,41.4,7.7,55.2,Alfalfa
19,79,102,27.9,44.2,6.6,50.6,Alfalfa
22,70,107,20.2,40.5,7.6,75.6,Alfalfa
82,38,116,26.7,72.5,7.1,66.9,Cotton
125,57,101,29.8,57.6,6.8,132.3,Cotton
97,39,37,18.0,56.2,6.0,126.1,Wheat
31,60,130,21.1,60.6,6.6,79.3,Alfalfa
81,42,45,20.5,69.8,6.8,129.9,Wheat
37,72,116,25.7,63.5,6.5,86.6,Alfalfa
75,38,41,19.8,66.8,6.4,229.0,Wheat
95,62,31,24.5,75.2,5.7,99.6,Maize
108,34,35,20.7,61.6,6.6,196.7,Wheat
129,41,87,28.7,66.5,6.0,111.4,Cotton
122,64,82,27.2,54.6,7.2,85.7,Cotton
97,37,37,18.7,65.7,6.3,240.8,Wheat
128,46,110,30.7,58.4,7.5,62.3,Cotton
35,79,138,23.9,58.8,7.3,92.0,Alfalfa
79,49,42,17.3,55.3,6.7,129.9,Wheat
127,42,106,25.4,57.3,6.2,81.4,Cotton
27,87,124,25.0,55.4,7.5,85.9,Alfalfa
118,52,42,24.0,76.6,5.7,83.0,Maize
107,52,46,20.1,62.3,7.1,176.5,Wheat
35,82,129,23.5,51.0,7.6,61.2,Alfalfa
25,93,115,20.4,41.2,7.4,57.8,Alfalfa
67,37,41,18.8,66.0,6.5,212.6,Wheat
31,92,131,23.6,61.4,7.6,114.9,Alfalfa
129,45,29,27.5,68.6,5.6,108.3,Maize
25,83,120,27.6,56.7,7.7,68.6,Alfalfa
65,48,35,18.0,62.4,6.7,175.9,Wheat
105,56,35,23.4,69.1,6.4,134.3,Maize
124,62,98,28.1,58.5,5.9,99.9,Cotton
101,47,45,23.3,68.7,6.2,155.9,Wheat
107,46,106,25.9,54.1,6.8,73.5,Cotton
124,64,26,21.9,60.1,5.6,170.5,Maize
109,44,98,34.0,70.4,7.1,65.0,Cotton
17,71,125,25.2,61.4,7.0,103.0,Alfalfa
92,50,80,29.4,68.2,7.4,114.3,Cotton
118,54,101,26.7,62.1,6.0,121.4,Cotton
137,53,44,27.3,72.6,6.3,119.0,Maize
128,50,40,22.2,60.3,6.3,90.6,Maize
36,82,102,22.1,54.0,7.7,55.8,Alfalfa
19,88,104,18.7,54.9,7.5,52.3,Alfalfa
90,67,36,21.0,63.5,6.2,109.6,Maize
87,55,38,15.3,65.6,6.3,121.6,Wheat
34,84,111,23.2,45.5,7.8,90.2,Alfalfa
101,51,39,23.2,66.4,6.6,152.6,Wheat
116,51,96,30.6,53.9,7.2,92.3,Cotton
65,32,43,16.8,52.8,6.7,214.3,Wheat
108,50,32,15.2,63.6,6.1,163.1,Wheat
105,54,29,23.1,65.0,6.4,141.9,Maize
86,59,93,33.4,55.6,6.2,106.1,Cotton
25,94,116,24.5,45.8,7.4,115.8,Alfalfa
109,58,96,34.0,74.1,6.6,127.5,Cotton
137,53,29,20.7,67.9,5.7,95.7,Maize
85,64,83,29.2,54.2,7.3,110.1,Cotton
87,63,39,27.3,79.2,5.8,168.6,Maize
113,53,118,31.4,65.7,6.5,127.7,Cotton
129,44,31,27.3,76.5,5.7,163.3,Maize
135,65,38,21.1,75.4,6.2,123.4,Maize
22,91,108,21.1,54.3,6.9,52.7,Alfalfa
24,70,116,25.0,48.1,6.8,64.8,Alfalfa
91,58,85,29.4,53.3,6.4,115.7,Cotton
101,32,38,21.0,63.2,6.8,118.1,Wheat
68,52,39,21.2,54.5,6.4,182.0,Wheat
104,67,26,21.7,68.4,6.5,169.8,Maize
105,55,38,15.5,53.2,6.4,111.5,Wheat
25,80,120,27.5,47.6,6.8,69.6,Alfalfa
91,64,34,29.3,64.3,6.0,81.0,Maize
35,85,115,18.1,59.7,6.9,52.8,Alfalfa
129,47,83,34.7,63.6,6.3,123.8,Cotton
22,66,139,18.9,50.3,6.7,65.5,Alfalfa
95,50,37,24.3,51.9,6.5,150.6,Wheat
106,64,102,27.1,68.8,5.9,104.3,Cotton
88,32,44,18.9,60.6,6.2,185.8,Wheat
106,61,108,26.5,56.7,6.4,96.8,Cotton
87,39,115,30.8,58.4,7.2,82.2,Cotton
108,43,44,29.0,65.9,5.8,121.1,Maize
131,54,39,28.3,73.5,6.6,119.7,Maize
92,64,90,28.6,66.8,6.3,67.3,Cotton
88,49,31,21.2,63.4,6.0,156.2,Maize
90,48,31,19.3,58.9,6.7,199.8,Wheat
85,50,118,34.3,67.2,7.2,110.1,Cotton
76,60,91,25.4,72.2,7.5,86.5,Cotton
122,44,86,27.5,71.6,6.0,71.3,Cotton
119,45,90,33.5,58.1,7.0,113.5,Cotton
128,55,26,25.8,68.6,5.9,156.9,Maize
69,57,39,17.3,62.5,6.9,132.8,Wheat
75,42,49,22.0,52.3,7.2,127.5,Wheat
61,41,37,16.3,50.6,6.7,221.0,Wheat
89,41,81,29.3,63.7,6.1,86.6,Cotton
39,73,101,18.5,62.3,7.2,89.5,Alfalfa
90,44,93,33.4,53.2,7.2,137.7,Cotton
135,45,28,29.9,74.5,6.5,179.4,Maize
94,35,115,31.1,64.5,6.2,128.1,Cotton
128,39,83,28.3,53.2,6.6,63.8,Cotton
85,51,102,30.6,58.6,6.0,68.5,Cotton
106,41,31,18.2,67.9,6.8,143.2,Wheat
94,50,25,20.1,66.5,6.2,94.8,Maize
102,47,37,29.6,71.3,6.2,88.5,Maize
90,51,31,21.1,57.8,6.3,114.2,Wheat
113,57,111,26.8,74.7,6.6,107.9,Cotton
95,42,44,25.8,76.2,5.9,110.6,Maize
61,58,49,21.8,56.3,6.2,194.9,Wheat
19,86,111,23.7,46.4,7.5,79.8,Alfalfa
20,86,112,24.7,59.2,6.9,84.4,Alfalfa
81,40,48,17.3,61.0,6.6,142.3,Wheat
25,72,127,25.7,56.3,7.6,118.3,Alfalfa
37,73,110,24.4,60.5,6.6,84.9,Alfalfa
75,48,117,31.5,53.8,7.5,109.0,Cotton
123,49,86,31.4,61.7,6.1,123.2,Cotton
91,50,43,29.1,60.4,5.9,85.7,Maize
63,40,46,21.8,56.1,6.4,182.6,Wheat
82,47,40,24.7,57.6,6.1,150.9,Wheat
83,48,114,31.6,74.9,6.6,91.9,Cotton
104,44,43,23.8,58.3,6.5,199.0,Wheat
123,54,117,29.6,60.4,7.0,72.2,Cotton
100,39,39,17.6,60.5,6.1,230.2,Wheat
60,41,31,15.4,62.4,6.8,132.2,Wheat
32,68,134,19.2,46.4,6.9,87.1,Alfalfa
28,77,127,21.0,43.6,6.7,80.3,Alfalfa
106,51,118,34.4,68.9,6.8,134.6,Cotton
101,50,26,26.3,76.6,6.5,107.7,Maize
15,85,122,21.3,49.9,7.3,106.1,Alfalfa
19,77,130,28.0,40.3,7.7,60.4,Alfalfa
123,64,106,28.4,71.8,5.8,80.4,Cotton
35,74,101,24.4,49.5,6.6,92.0,Alfalfa
32,92,130,26.2,60.7,7.3,74.7,Alfalfa
83,51,31,23.3,62.6,6.9,189.8,Wheat
30,90,113,19.6,50.4,6.5,83.5,Alfalfa
124,61,29,26.0,75.3,6.2,102.7,Maize
29,66,128,18.1,43.6,7.5,67.1,Alfalfa
20,71,137,23.1,52.1,7.0,108.7,Alfalfa
116,38,100,25.3,63.8,6.7,149.5,Cotton
73,42,36,16.0,50.9,6.2,181.2,Wheat
103,30,39,24.5,66.8,6.4,111.6,Wheat
94,51,105,32.6,67.0,6.1,65.3,Cotton
126,44,35,20.5,78.6,5.6,108.6,Maize
39,87,126,25.7,50.3,7.3,90.6,Alfalfa
115,59,113,25.4,74.2,6.7,146.7,Cotton
27,72,104,19.0,44.5,7.5,97.4,Alfalfa
27,71,112,20.8,48.7,7.5,119.5,Alfalfa
85,43,43,23.3,54.5,6.5,161.5,Wheat
36,82,118,21.3,58.3,7.0,90.5,Alfalfa
34,85,134,19.4,50.4,7.2,78.2,Alfalfa
36,81,115,24.3,59.2,7.8,50.8,Alfalfa
37,81,120,22.3,43.2,7.0,74.8,Alfalfa
37,82,131,21.6,54.8,7.2,61.3,Alfalfa
98,52,42,17.2,51.4,7.0,138.2,Wheat
32,79,126,20.6,57.4,7.2,105.7,Alfalfa
119,55,37,24.9,62.7,5.8,121.9,Maize
87,38,31,17.9,50.1,6.6,142.8,Wheat
85,52,35,25.8,78.8,5.7,127.2,Maize
88,52,103,30.2,72.4,6.1,62.0,Cotton
112,36,104,28.2,65.7,7.2,115.0,Cotton
130,48,25,23.3,63.3,5.7,159.1,Maize
113,64,37,25.9,68.5,6.3,88.2,Maize
24,69,129,25.1,54.5,6.5,75.2,Alfalfa
29,63,139,24.7,60.0,7.7,51.4,Alfalfa
39,64,104,23.6,56.6,7.4,115.2,Alfalfa
124,49,33,28.8,61.0,5.8,169.7,Maize
70,32,34,16.4,67.2,6.6,201.2,Wheat
139,63,33,27.6,66.3,6.0,101.0,Maize
108,55,102,28.9,59.3,7.3,73.6,Cotton
32,79,116,19.8,64.1,7.1,94.2,Alfalfa
20,62,134,22.3,56.1,7.5,66.3,Alfalfa
33,75,123,26.3,59.9,6.9,103.6,Alfalfa
128,58,30,26.4,60.5,6.5,170.3,Maize
119,58,32,20.8,72.0,6.1,134.6,Maize
72,36,39,22.6,52.9,6.8,241.8,Wheat
84,52,46,21.7,54.6,6.3,145.9,Wheat
72,45,117,25.1,61.1,5.9,121.4,Cotton
22,79,131,25.8,60.1,7.8,91.8,Alfalfa
125,56,83,31.2,66.0,6.3,137.4,Cotton
86,45,35,15.9,53.9,7.0,201.5,Wheat
109,33,34,20.1,62.1,6.6,224.3,Wheat
72,54,114,33.4,66.8,7.0,92.7,Cotton
83,49,47,19.1,67.7,6.1,244.2,Wheat
32,67,114,20.5,63.6,6.9,104.3,Alfalfa
101,64,92,34.8,59.2,6.4,91.0,Cotton
97,61,31,28.8,70.1,6.2,93.8,Maize
96,56,81,25.7,66.6,6.8,97.4,Cotton
81,32,34,23.2,63.0,6.5,168.7,Wheat
134,41,28,25.1,66.4,6.3,179.6,Maize
64,49,45,18.8,61.4,6.6,229.3,Wheat
88,50,28,25.1,65.6,6.6,155.3,Maize
28,92,117,25.2,45.8,7.4,71.5,Alfalfa
77,56,40,22.4,64.2,6.3,212.4,Wheat
75,64,95,27.3,68.8,6.3,116.2,Cotton
87,56,92,32.4,67.2,7.2,139.0,Cotton
102,61,43,20.3,70.7,5.5,160.8,Maize
121,46,32,22.8,75.7,6.7,119.9,Maize
122,68,38,28.6,66.5,6.7,92.2,Maize
99,63,30,29.9,79.0,5.7,133.8,Maize
33,81,134,21.6,51.0,7.8,106.6,Alfalfa
23,93,100,27.5,41.5,6.9,70.9,Alfalfa
102,64,39,27.8,62.4,6.3,92.4,Maize
103,37,80,33.2,63.6,5.9,146.0,Cotton
35,75,139,20.1,42.9,7.6,85.2,Alfalfa
82,36,41,21.1,60.1,7.1,242.9,Wheat
93,55,31,25.9,74.0,5.8,124.7,Maize
75,56,111,29.1,66.6,6.0,96.1,Cotton
32,65,132,18.4,46.8,7.7,116.8,Alfalfa
112,54,28,21.8,67.8,6.7,94.1,Maize
15,75,122,24.2,51.9,7.1,103.8,Alfalfa
37,88,133,22.5,53.3,7.5,107.8,Alfalfa
32,66,100,23.6,56.8,7.7,93.3,Alfalfa
113,69,28,25.5,64.8,6.1,176.8,Maize
24,71,115,25.0,49.1,7.6,64.3,Alfalfa
138,57,26,23.8,70.3,6.0,99.9,Maize
91,60,112,33.5,68.1,6.4,67.8,Cotton
104,53,37,17.1,60.9,6.3,227.3,Wheat
126,62,103,28.1,73.2,6.1,146.9,Cotton
127,45,100,30.5,72.1,6.7,108.1,Cotton
121,55,44,29.2,66.6,6.0,156.0,Maize
18,77,119,23.8,54.5,6.6,72.0,Alfalfa
29,87,136,26.7,42.2,7.1,98.4,Alfalfa
107,56,42,28.3,63.8,6.7,135.4,Maize
102,46,82,29.3,71.2,6.4,131.5,Cotton
66,43,43,20.4,50.8,6.9,166.9,Wheat
69,51,45,18.9,61.7,6.6,192.9,Wheat
85,41,93,30.5,55.1,6.3,127.4,Cotton
79,32,49,20.3,57.9,6.7,220.8,Wheat
71,55,41,20.4,62.4,6.8,200.0,Wheat
87,45,33,15.5,50.4,6.4,150.0,Wheat
107,57,31,16.5,64.6,6.7,209.7,Wheat
115,53,40,23.1,78.7,6.2,129.7,Maize
91,52,91,33.4,65.4,6.4,77.3,Cotton
117,53,85,27.1,71.3,5.9,92.0,Cotton
70,44,32,16.7,64.1,6.6,195.3,Wheat
65,46,37,18.2,61.2,7.0,200.0,Wheat
37,73,113,25.0,44.8,6.6,87.3,Alfalfa
137,56,41,27.9,76.2,6.1,85.7,Maize
92,41,34,27.1,78.0,6.3,92.4,Maize
86,44,113,26.8,58.2,6.6,62.2,Cotton
78,36,87,27.8,53.4,7.0,133.2,Cotton
77,38,108,28.9,62.7,7.3,127.5,Cotton
100,51,42,20.7,77.9,6.0,108.8,Maize
117,45,36,23.2,77.0,5.6,85.0,Maize
32,83,109,24.7,48.4,6.7,69.7,Alfalfa
38,92,117,18.7,42.7,7.6,66.8,Alfalfa
24,91,125,22.7,59.8,7.0,79.7,Alfalfa
21,92,120,20.5,42.5,7.0,93.2,Alfalfa
32,77,123,24.2,62.1,6.8,78.3,Alfalfa
70,31,33,20.2,55.7,6.6,227.2,Wheat
116,69,43,22.0,65.3,5.7,89.6,Maize
132,64,32,21.7,70.9,5.7,86.4,Maize
17,85,139,23.6,52.9,6.6,51.1,Alfalfa
87,47,116,31.0,52.0,7.0,143.9,Cotton
81,50,102,30.8,69.2,6.5,139.2,Cotton
70,39,49,21.2,52.6,6.4,130.3,Wheat
21,87,131,21.0,55.6,6.7,76.1,Alfalfa
80,46,105,34.4,74.9,6.6,82.7,Cotton
86,36,37,17.1,69.0,6.4,247.9,Wheat
85,55,104,25.1,59.6,6.3,63.4,Cotton
71,34,49,18.9,66.6,6.2,240.3,Wheat
98,39,42,21.8,57.3,7.1,141.3,Wheat
66,53,38,22.7,68.6,6.2,219.7,Wheat
94,44,43,22.4,64.1,6.7,171.9,Maize
109,38,104,29.1,56.0,6.9,117.6,Cotton
77,40,32,20.4,63.1,6.3,189.0,Wheat
100,42,47,22.4,54.6,6.1,145.0,Wheat
80,46,41,24.0,61.1,6.3,168.4,Maize
31,82,121,18.8,47.1,7.3,67.9,Alfalfa
83,37,44,18.7,69.6,6.5,175.3,Wheat
118,62,105,30.8,69.9,7.3,101.1,Cotton
99,46,109,34.7,67.4,5.9,137.7,Cotton
31,71,120,22.2,61.9,6.8,107.9,Alfalfa
79,44,45,20.1,55.8,6.6,228.7,Wheat
124,57,38,21.3,66.0,6.5,127.2,Maize
39,63,133,26.2,40.2,7.1,73.0,Alfalfa
19,69,109,25.1,64.6,6.6,56.8,Alfalfa
118,41,93,26.8,51.0,5.8,129.7,Cotton
90,49,37,19.3,50.5,6.9,101.6,Wheat
135,40,35,25.4,69.5,6.0,168.7,Maize
66,55,45,24.6,60.2,6.5,141.8,Wheat
74,58,100,30.8,57.1,6.3,96.4,Cotton
104,32,39,20.8,51.7,6.2,165.9,Wheat
124,62,44,23.2,61.7,5.9,176.7,Maize
20,72,122,25.9,55.6,7.7,97.6,Alfalfa
121,49,44,27.9,60.5,6.2,148.8,Maize
31,64,138,26.7,63.9,6.8,111.8,Alfalfa
114,38,117,26.3,51.4,7.2,65.3,Cotton
120,58,93,28.0,52.3,6.9,72.0,Cotton
103,50,27,20.1,77.9,5.5,104.0,Maize
93,62,114,30.8,58.6,7.2,81.4,Cotton
104,30,39,17.6,50.2,6.8,176.7,Wheat
127,53,42,26.5,77.5,5.8,125.0,Maize
16,66,135,18.9,51.4,7.0,110.7,Alfalfa
87,58,27,25.5,70.3,6.4,163.7,Maize
94,62,91,26.6,54.3,6.3,70.8,Cotton
97,52,33,23.2,52.8,6.9,107.2,Wheat
84,51,42,20.1,75.3,6.2,157.9,Maize
26,76,103,22.1,40.1,7.6,76.7,Alfalfa
37,93,105,22.9,64.7,6.9,77.7,Alfalfa
28,65,136,22.6,45.4,6.7,116.7,Alfalfa
26,88,116,24.2,53.6,6.7,70.3,Alfalfa
65,48,34,22.2,50.1,6.6,120.9,Wheat
83,63,27,28.0,64.8,5.6,111.7,Maize
38,84,139,18.9,58.7,6.5,95.1,Alfalfa
109,51,114,31.4,74.8,7.1,80.3,Cotton
112,61,105,29.4,53.4,7.3,133.4,Cotton
93,39,99,33.5,51.3,6.0,111.2,Cotton
69,30,37,19.3,61.4,6.0,139.1,Wheat
90,69,31,21.7,70.9,6.4,124.5,Maize
25,66,101,27.3,43.1,7.3,53.7,Alfalfa
94,46,86,28.0,61.4,6.1,87.4,Cotton
85,45,26,29.0,72.6,6.1,83.9,Maize
106,51,112,29.6,63.2,5.9,117.5,Cotton
96,59,48,17.9,60.9,6.2,203.7,Wheat
102,40,40,21.0,62.9,6.6,132.8,Maize
75,56,34,21.5,67.4,7.0,193.9,Wheat
27,86,125,20.6,43.4,6.8,77.0,Alfalfa
16,74,131,25.1,42.8,7.5,69.3,Alfalfa
98,33,32,22.9,62.1,6.8,249.7,Wheat
15,80,138,27.7,64.4,6.6,107.5,Alfalfa
138,40,27,25.4,65.1,6.5,155.2,Maize
72,53,81,33.3,67.5,6.6,65.0,Cotton
113,67,30,29.3,72.8,5.9,132.5,Maize
106,35,45,18.6,59.6,6.4,202.4,Wheat
85,35,41,15.6,56.9,6.8,115.4,Wheat
106,37,110,34.7,74.6,6.6,138.2,Cotton
20,85,137,26.4,61.9,6.8,88.5,Alfalfa
107,55,87,34.1,70.5,7.1,64.4,Cotton
125,57,40,25.8,73.7,6.5,152.7,Maize
89,47,116,25.6,64.7,7.2,61.6,Cotton
117,40,110,33.2,58.2,6.4,113.7,Cotton
82,60,108,32.4,65.6,6.8,126.8,Cotton
101,36,39,18.5,52.5,6.2,201.4,Wheat
86,30,39,20.1,56.9,6.4,190.3,Wheat
85,60,26,20.7,73.2,6.6,147.3,Maize
108,58,99,31.4,57.9,7.4,63.0,Cotton
120,54,27,27.1,63.5,5.8,129.4,Maize
92,40,34,27.6,70.0,6.7,94.7,Maize
74,45,44,21.8,61.9,6.9,146.4,Wheat
19,94,112,27.8,47.3,6.9,74.8,Alfalfa
21,62,111,20.7,62.4,6.6,96.0,Alfalfa
66,33,49,19.5,68.9,6.8,145.2,Wheat
104,50,109,25.9,53.6,6.0,98.1,Cotton
64,48,40,22.3,66.8,6.7,113.0,Wheat
122,52,95,31.6,63.4,7.0,121.4,Cotton
29,88,125,22.6,62.3,7.2,108.3,Alfalfa
128,44,26,26.9,73.5,6.8,178.6,Maize
29,79,101,19.1,59.5,7.7,76.8,Alfalfa
98,41,93,29.4,57.8,7.1,144.3,Cotton
122,56,29,28.7,74.7,5.8,86.7,Maize
88,58,47,22.2,55.1,6.9,104.2,Wheat
63,47,47,16.5,66.5,6.3,197.8,Wheat
32,77,119,26.2,65.0,6.8,68.6,Alfalfa
112,67,44,29.2,70.1,6.5,93.6,Maize
27,68,131,25.3,53.0,6.8,104.7,Alfalfa
136,68,33,23.4,79.6,6.3,121.6,Maize
98,41,32,23.2,55.6,6.1,108.5,Wheat
100,46,81,27.4,57.6,6.6,65.7,Cotton
135,50,26,26.4,61.4,6.0,133.5,Maize
62,55,35,23.0,61.9,7.1,161.6,Wheat
90,46,26,24.2,62.9,5.6,81.7,Maize
132,66,42,23.5,63.5,6.3,168.2,Maize
23,79,139,26.6,50.2,7.5,60.1,Alfalfa
22,91,125,22.4,53.1,6.8,102.5,Alfalfa
110,35,98,33.8,56.7,7.5,94.5,Cotton
81,42,84,29.4,51.7,6.8,113.8,Cotton
27,87,132,23.4,41.3,7.4,53.9,Alfalfa
95,52,31,25.1,68.8,5.7,109.1,Maize
125,57,30,20.0,71.9,6.4,141.9,Maize
88,55,35,23.3,59.3,6.6,240.2,Wheat
101,58,40,23.8,62.0,6.3,124.7,Maize
68,44,49,19.1,68.5,6.9,162.8,Wheat
82,49,30,23.6,72.6,6.4,123.0,Maize
71,34,32,17.5,64.4,6.9,201.0,Wheat
32,71,112,23.1,40.6,7.0,65.4,Alfalfa
115,50,38,28.5,72.7,5.6,100.7,Maize
102,45,39,16.0,64.0,6.4,140.3,Wheat
117,58,32,21.5,63.2,6.5,141.6,Maize
62,51,47,18.7,65.4,7.0,160.1,Wheat
138,45,36,24.8,78.0,6.7,88.7,Maize
72,46,118,32.9,55.0,7.2,136.5,Cotton
80,40,34,15.5,53.0,6.6,186.4,Wheat
125,44,43,29.6,60.9,5.7,81.4,Maize
86,32,31,21.7,66.5,6.0,181.3,Wheat
79,58,35,21.7,52.5,6.9,131.5,Wheat
62,30,30,16.7,67.4,6.7,123.6,Wheat
17,71,129,18.7,55.7,6.8,106.3,Alfalfa
35,79,130,20.1,58.4,7.6,86.5,Alfalfa
129,50,91,28.0,50.0,7.4,142.6,Cotton
103,55,39,24.5,62.0,5.5,141.6,Maize
128,52,94,27.3,66.0,6.2,124.2,Cotton
87,51,97,33.7,64.8,6.0,98.5,Cotton
95,52,108,32.6,52.6,6.7,133.3,Cotton
82,54,40,24.5,60.7,6.5,227.2,Wheat
38,72,117,22.9,61.2,7.6,78.2,Alfalfa
91,58,46,24.2,68.2,6.7,179.2,Wheat
63,39,39,22.7,52.1,6.9,125.6,Wheat
128,55,31,23.2,70.9,6.2,115.7,Maize
80,47,40,18.8,55.2,6.3,168.7,Wheat
94,36,88,32.1,50.5,6.5,129.8,Cotton
60,34,35,24.2,61.7,6.6,222.7,Wheat
133,46,38,28.2,68.6,5.7,108.2,Maize
86,48,119,27.3,53.1,6.0,112.5,Cotton
39,91,117,19.3,62.9,7.1,81.8,Alfalfa
89,56,101,25.5,52.8,5.8,150.0,Cotton
31,89,122,19.2,54.7,7.4,64.0,Alfalfa
109,40,41,15.2,52.0,6.5,240.0,Wheat
33,70,127,21.6,42.7,7.6,104.8,Alfalfa
32,73,109,24.3,63.7,7.3,87.8,Alfalfa
98,43,40,15.3,64.9,6.9,120.4,Wheat
100,67,44,23.0,65.0,6.0,105.5,Maize
87,48,43,25.7,73.0,5.9,126.0,Maize
76,40,31,23.9,50.2,7.1,185.8,Wheat
81,54,41,25.0,62.2,6.0,104.1,Maize
115,40,103,26.4,53.6,7.0,117.9,Cotton
119,54,39,26.9,63.1,5.8,164.2,Maize
102,57,37,22.0,58.1,7.1,197.5,Wheat
34,88,127,22.8,47.9,7.5,97.7,Alfalfa
124,60,32,22.4,78.6,5.6,106.8,Maize
108,49,105,26.5,70.0,7.0,77.1,Cotton
118,67,38,21.8,79.1,5.6,115.5,Maize
66,35,34,20.5,53.5,6.5,226.5,Wheat
129,45,119,33.7,72.3,7.4,68.5,Cotton
98,65,33,27.6,72.1,5.7,159.7,Maize
83,46,104,29.6,54.3,6.4,61.6,Cotton
18,78,127,24.6,60.9,6.8,58.4,Alfalfa
101,42,29,29.7,76.9,6.2,178.1,Maize
22,88,129,24.7,56.6,7.1,108.5,Alfalfa
124,42,116,31.2,65.2,7.2,108.7,Cotton
78,56,30,22.1,54.2,6.7,230.2,Wheat
87,64,34,24.5,62.9,6.0,175.2,Maize
79,47,32,18.5,51.7,6.9,146.7,Wheat
30,67,138,22.9,59.4,7.0,81.0,Alfalfa
22,93,131,24.0,61.2,7.7,83.9,Alfalfa
95,68,33,23.4,63.9,6.2,111.5,Maize
69,35,48,20.1,60.9,6.4,112.2,Wheat
88,56,33,24.1,69.3,5.6,83.8,Maize
36,85,113,25.4,44.2,6.7,82.2,Alfalfa
91,63,27,26.5,73.0,6.6,121.8,Maize
76,56,108,34.8,64.9,7.0,60.7,Cotton
76,61,118,34.2,74.2,6.7,101.2,Cotton
72,52,33,23.5,68.1,6.6,194.4,Wheat
107,67,39,21.6,70.1,6.6,146.4,Maize
82,37,45,21.8,60.5,6.9,187.2,Wheat
107,55,40,16.1,53.5,6.8,196.8,Wheat
21,66,137,23.1,64.8,6.8,108.3,Alfalfa
87,56,44,27.5,73.9,6.8,107.8,Maize
106,55,32,24.4,77.1,6.4,168.2,Maize
109,49,45,15.6,67.8,6.4,147.2,Wheat
88,38,33,15.5,57.0,7.0,159.4,Wheat
98,39,45,18.9,68.3,6.9,175.8,Wheat
123,50,44,20.6,65.2,6.1,95.7,Maize
95,47,44,27.2,78.8,6.6,131.5,Maize
75,61,99,30.5,52.9,6.0,107.7,Cotton
101,47,44,20.3,71.9,6.2,176.9,Maize
102,61,113,25.5,52.4,5.9,104.9,Cotton
76,56,104,32.2,55.8,7.0,148.4,Cotton
113,64,96,34.5,62.2,7.0,136.7,Cotton
31,82,131,26.2,56.2,7.8,100.0,Alfalfa
115,44,41,21.2,70.6,5.7,139.2,Maize
132,58,43,29.7,62.2,5.8,129.2,Maize
21,71,109,25.1,46.0,7.0,81.1,Alfalfa
93,57,104,26.5,63.1,7.4,114.7,Cotton
38,70,108,18.8,60.2,7.5,114.1,Alfalfa
33,83,115,26.7,40.8,6.6,109.8,Alfalfa
92,41,31,29.8,63.1,5.8,101.2,Maize
95,46,37,29.1,74.6,6.5,88.0,Maize
82,39,81,27.3,52.9,6.4,79.8,Cotton
98,48,35,20.0,51.2,6.9,193.5,Wheat
128,64,29,23.4,70.4,6.8,149.6,Maize
65,47,39,19.4,56.7,6.6,187.8,Wheat
72,52,93,27.9,63.8,5.8,85.5,Cotton
132,56,26,25.8,63.1,6.0,149.7,Maize
96,52,36,15.1,51.6,7.1,111.7,Wheat
115,50,99,28.8,73.1,6.7,119.6,Cotton
94,61,34,26.7,68.2,6.1,84.9,Maize
92,66,38,23.0,67.7,6.6,154.9,Maize
83,46,107,32.7,72.5,6.6,109.6,Cotton
34,70,133,19.2,43.2,7.2,115.6,Alfalfa
37,82,126,25.6,46.2,6.5,57.1,Alfalfa
120,63,39,25.0,74.5,5.6,120.6,Maize
114,49,25,28.2,63.4,6.6,149.3,Maize
129,46,31,24.1,62.8,6.4,132.5,Maize
135,63,33,29.1,71.7,5.6,125.0,Maize
94,42,35,24.9,77.9,5.8,121.1,Maize
97,44,117,31.9,71.5,6.0,137.8,Cotton
110,58,81,27.4,60.4,6.2,88.9,Cotton
84,50,25,25.7,68.8,6.0,154.6,Maize
35,83,103,21.3,58.6,6.7,59.1,Alfalfa
83,43,33,17.5,51.3,6.2,228.8,Wheat
