crop,soil_type,ndvi,moisture,nitrogen_applied,phosphorus_applied,potassium_applied,area_ha,yield_tons_ha
Maize,Silt Loam,0.66,15.0,120,64,76,2.4,6.76
Maize,Clay Loam,0.44,46.7,196,50,72,24.0,7.91
Alfalfa,Silt Loam,0.69,32.4,27,76,134,14.9,5.89
Maize,Silt Loam,0.65,50.8,146,72,90,4.5,9.15
Cotton,Clay Loam,0.6,54.8,135,54,85,6.1,5.43
Alfalfa,Clay Loam,0.5,49.2,33,81,139,25.0,5.64
Cotton,Sandy Loam,0.65,19.0,108,61,110,23.8,5.45
Cotton,Silt Loam,0.69,53.4,99,56,94,12.5,5.48
Alfalfa,Clay Loam,0.84,46.5,40,60,96,14.5,5.87
Alfalfa,Silt Loam,0.79,36.1,25,74,96,9.7,6.06
Alfalfa,Sandy Loam,0.58,23.7,43,85,116,9.7,5.67
Wheat,Clay Loam,0.44,38.4,145,66,58,17.3,7.74
Wheat,Clay Loam,0.44,53.6,152,40,69,14.1,8.15
Maize,Sandy Loam,0.78,46.8,136,59,68,24.1,9.68
Alfalfa,Sandy Loam,0.83,46.3,29,87,127,17.2,5.88
Cotton,Sandy Loam,0.79,30.8,110,44,94,9.7,5.47
Alfalfa,Sandy Loam,0.37,48.9,24,84,131,21.9,5.44
Maize,Clay Loam,0.64,26.7,192,75,94,11.3,8.42
Alfalfa,Silt Loam,0.66,17.2,34,64,103,13.6,5.03
Cotton,Sandy Loam,0.57,35.8,113,56,104,16.5,5.35
Maize,Silt Loam,0.62,28.5,175,54,103,17.1,8.18
Cotton,Clay Loam,0.69,15.7,104,51,113,19.4,4.89
Cotton,Clay Loam,0.79,18.4,127,60,86,12.2,5.09
Wheat,Silt Loam,0.35,16.1,117,59,51,20.9,6.93
Alfalfa,Silt Loam,0.56,44.2,34,60,130,16.4,5.35
Wheat,Silt Loam,0.5,51.8,122,61,89,5.9,8.16
Maize,Clay Loam,0.39,29.2,176,64,103,22.7,7.43
Maize,Sandy Loam,0.41,51.8,138,73,101,23.5,8.18
Cotton,Clay Loam,0.59,37.9,92,59,99,16.2,5.42
Wheat,Silt Loam,0.72,22.2,156,53,68,24.1,7.97
Alfalfa,Sandy Loam,0.56,54.1,29,77,132,15.4,6.38
Alfalfa,Sandy Loam,0.57,25.2,42,60,99,22.3,5.2
Wheat,Clay Loam,0.59,27.0,106,56,84,9.4,7.03
Cotton,Silt Loam,0.76,32.1,119,47,119,16.7,6.21
Wheat,Silt Loam,0.44,48.4,145,60,75,5.5,7.95
Alfalfa,Sandy Loam,0.42,29.8,47,98,125,18.2,5.34
Wheat,Clay Loam,0.56,21.6,123,48,75,5.5,7.87
Maize,Silt Loam,0.54,35.3,177,80,106,8.2,8.03
Maize,Sandy Loam,0.68,48.6,195,68,85,23.7,9.62
Cotton,Clay Loam,0.35,28.7,95,56,102,24.3,4.48
Cotton,Sandy Loam,0.53,21.8,134,63,81,4.4,4.44
Cotton,Sandy Loam,0.5,23.0,121,49,80,19.8,4.01
Alfalfa,Sandy Loam,0.8,53.8,20,73,118,6.0,6.34
Wheat,Sandy Loam,0.61,28.2,139,62,84,14.5,8.04
Alfalfa,Silt Loam,0.42,42.7,34,76,128,23.0,5.25
Cotton,Silt Loam,0.81,48.9,97,41,81,10.7,6.0
Wheat,Silt Loam,0.71,42.1,118,50,57,10.1,8.38
Alfalfa,Sandy Loam,0.61,21.4,35,83,104,10.6,5.21
Alfalfa,Clay Loam,0.57,18.3,46,65,95,4.3,5.45
Alfalfa,Silt Loam,0.4,27.8,45,90,91,3.2,5.17
Cotton,Sandy Loam,0.7,36.3,113,64,108,12.0,5.88
Alfalfa,Silt Loam,0.5,33.8,41,68,138,4.1,5.29
Cotton,Sandy Loam,0.81,28.4,138,42,107,3.5,5.61
Cotton,Silt Loam,0.63,37.3,104,41,96,21.5,5.67
Alfalfa,Silt Loam,0.44,15.2,25,60,96,13.7,4.58
Cotton,Sandy Loam,0.77,20.9,115,64,88,21.7,5.21
Wheat,Sandy Loam,0.37,33.5,118,45,51,9.2,7.39
Wheat,Sandy Loam,0.74,50.9,118,40,53,12.1,9.16
Cotton,Silt Loam,0.48,27.4,123,49,81,21.6,4.37
Maize,Clay Loam,0.49,30.4,168,58,78,18.9,8.02
Maize,Sandy Loam,0.52,30.9,173,65,76,9.8,8.01
Cotton,Silt Loam,0.52,26.7,101,54,107,6.9,4.49
Alfalfa,Sandy Loam,0.82,20.1,33,78,97,2.8,5.64
Maize,Silt Loam,0.69,22.5,165,79,89,14.5,8.25
Cotton,Sandy Loam,0.51,21.9,115,42,102,15.8,4.77
Cotton,Clay Loam,0.8,22.0,115,59,84,10.1,5.44
Cotton,Sandy Loam,0.75,43.8,104,58,80,2.5,5.78
Cotton,Silt Loam,0.62,15.1,97,56,95,9.4,4.35
Maize,Clay Loam,0.64,40.9,180,53,63,17.6,8.75
Maize,Clay Loam,0.5,33.4,123,50,85,6.3,6.96
Cotton,Silt Loam,0.45,34.2,137,55,90,22.4,4.41
Cotton,Sandy Loam,0.38,34.7,139,47,101,8.8,5.27
Cotton,Silt Loam,0.69,41.1,90,52,108,2.9,5.94
Wheat,Clay Loam,0.55,29.3,137,47,58,21.2,8.01
Cotton,Sandy Loam,0.76,37.2,138,55,115,8.8,6.15
Wheat,Silt Loam,0.78,40.8,156,69,69,2.5,8.93
Wheat,Silt Loam,0.75,38.7,125,44,77,7.3,8.82
Cotton,Sandy Loam,0.35,40.1,125,41,97,15.5,4.98
Wheat,Sandy Loam,0.63,51.0,128,66,86,24.3,8.78
Cotton,Sandy Loam,0.39,34.8,102,59,106,10.3,4.31
Cotton,Clay Loam,0.72,29.6,122,51,91,11.3,5.4
Maize,Silt Loam,0.72,31.4,147,53,95,8.4,8.29
Alfalfa,Clay Loam,0.48,28.8,26,97,133,16.9,5.39
Maize,Sandy Loam,0.74,43.0,156,51,64,6.7,9.27
Maize,Clay Loam,0.73,52.3,185,53,86,7.1,9.86
Cotton,Sandy Loam,0.45,42.4,129,64,94,14.9,4.94
Wheat,Clay Loam,0.56,23.1,139,57,71,10.9,7.76
Alfalfa,Sandy Loam,0.72,51.5,27,98,110,19.4,6.82
Maize,Sandy Loam,0.58,47.0,147,81,72,16.9,8.86
Alfalfa,Silt Loam,0.41,54.6,38,94,94,8.4,5.61
Maize,Silt Loam,0.72,27.9,137,83,71,10.0,8.18
Cotton,Sandy Loam,0.58,55.0,99,63,80,10.9,5.78
Wheat,Clay Loam,0.4,42.4,102,53,57,11.9,7.29
Wheat,Sandy Loam,0.62,42.3,118,48,56,7.5,8.53
Maize,Clay Loam,0.68,42.5,123,74,108,22.0,8.7
Maize,Silt Loam,0.6,16.3,148,51,93,16.9,7.44
Maize,Silt Loam,0.69,27.8,155,68,86,6.6,8.78
Maize,Clay Loam,0.62,33.7,145,77,63,23.3,8.5
Alfalfa,Silt Loam,0.85,52.7,26,95,125,17.4,6.98
Cotton,Sandy Loam,0.81,31.2,131,60,118,11.1,5.45
Maize,Clay Loam,0.78,30.6,169,55,109,10.8,9.3
Cotton,Clay Loam,0.42,52.6,91,63,116,22.7,5.58
Wheat,Sandy Loam,0.71,50.9,136,67,68,3.2,8.98
Cotton,Clay Loam,0.53,39.0,100,62,86,14.8,4.87
Wheat,Sandy Loam,0.47,25.1,143,65,65,23.6,8.14
Alfalfa,Silt Loam,0.4,54.8,39,83,118,11.2,5.97
Alfalfa,Sandy Loam,0.45,45.7,20,79,123,8.8,5.47
Alfalfa,Clay Loam,0.38,52.6,27,67,127,6.3,5.04
Wheat,Silt Loam,0.36,20.9,102,69,51,10.7,6.8
Cotton,Clay Loam,0.72,54.6,101,40,99,25.0,6.07
Cotton,Clay Loam,0.54,25.1,138,49,115,4.6,4.76
Cotton,Sandy Loam,0.6,16.6,136,47,88,22.5,5.21
Alfalfa,Sandy Loam,0.42,41.4,39,75,99,17.2,4.94
Alfalfa,Clay Loam,0.4,33.2,39,93,91,13.3,4.94
Cotton,Silt Loam,0.61,42.3,121,44,89,12.3,5.59
Cotton,Clay Loam,0.71,30.3,120,50,86,9.3,4.9
Wheat,Sandy Loam,0.65,42.5,158,51,83,12.8,8.46
Wheat,Clay Loam,0.43,16.0,116,57,71,4.1,6.97
Maize,Sandy Loam,0.54,50.5,145,51,70,12.4,8.39
Alfalfa,Sandy Loam,0.5,26.4,43,88,137,11.0,5.19
Alfalfa,Sandy Loam,0.78,32.9,34,73,131,10.4,5.8
Maize,Clay Loam,0.52,30.6,188,77,92,19.4,7.08
Alfalfa,Silt Loam,0.64,45.3,34,82,111,8.1,5.67
Cotton,Sandy Loam,0.41,22.6,97,59,97,6.9,4.37
Alfalfa,Sandy Loam,0.4,20.7,32,95,125,21.8,4.17
Wheat,Sandy Loam,0.44,23.5,145,58,84,9.8,7.48
Wheat,Sandy Loam,0.42,32.0,114,69,73,5.1,7.18
Wheat,Silt Loam,0.68,41.2,141,45,62,4.2,8.78
Cotton,Silt Loam,0.39,26.1,90,50,110,7.7,4.62
Alfalfa,Clay Loam,0.74,52.5,44,65,120,5.3,5.96
Wheat,Sandy Loam,0.73,22.6,103,57,52,15.1,8.04
Maize,Clay Loam,0.55,37.8,153,84,94,20.2,8.32
Maize,Sandy Loam,0.48,26.9,152,72,84,19.7,7.62
Alfalfa,Clay Loam,0.48,25.1,21,74,117,16.5,4.8
Wheat,Sandy Loam,0.48,44.8,133,42,86,24.5,8.39
Maize,Silt Loam,0.55,25.9,161,57,107,8.7,7.96
Alfalfa,Sandy Loam,0.51,22.0,41,87,93,15.5,5.6
Alfalfa,Sandy Loam,0.54,40.5,40,61,135,23.7,5.26
Alfalfa,Sandy Loam,0.8,15.3,42,76,135,20.8,5.97
Cotton,Silt Loam,0.77,33.5,101,42,94,19.0,5.27
Wheat,Sandy Loam,0.43,32.1,157,47,70,5.0,7.55
Alfalfa,Silt Loam,0.75,23.0,42,92,109,11.5,5.75
Wheat,Silt Loam,0.6,35.4,104,68,59,20.7,7.92
Wheat,Clay Loam,0.75,25.3,158,52,71,16.2,8.61
Cotton,Silt Loam,0.61,41.2,134,60,80,14.1,5.24
Cotton,Sandy Loam,0.56,20.6,120,62,87,13.7,4.76
Wheat,Sandy Loam,0.81,41.8,109,59,63,2.3,8.38
Maize,Silt Loam,0.71,50.8,122,72,70,19.5,8.63
Cotton,Sandy Loam,0.83,19.9,139,44,103,7.9,5.49
Cotton,Silt Loam,0.81,16.5,108,40,106,21.7,5.67
Maize,Clay Loam,0.64,50.5,188,53,76,12.9,9.16
Cotton,Silt Loam,0.44,16.9,139,49,117,7.7,4.58
Cotton,Clay Loam,0.37,16.4,95,53,102,21.1,4.23
Alfalfa,Silt Loam,0.66,26.4,32,96,116,23.1,5.76
Maize,Silt Loam,0.53,41.1,132,81,66,19.1,8.12
Wheat,Silt Loam,0.7,18.5,128,47,82,4.7,7.58
Maize,Clay Loam,0.72,28.4,142,60,92,10.3,8.09
Maize,Silt Loam,0.82,45.5,154,71,93,14.0,10.18
Alfalfa,Sandy Loam,0.74,22.8,20,73,120,15.8,5.35
Maize,Silt Loam,0.54,15.4,197,50,72,8.5,7.21
Alfalfa,Clay Loam,0.65,22.6,22,63,94,10.3,4.8
Cotton,Sandy Loam,0.6,25.8,129,40,93,15.8,5.04
Alfalfa,Sandy Loam,0.83,44.0,37,80,134,20.4,6.36
Maize,Clay Loam,0.48,23.3,190,80,83,23.7,7.6
Maize,Sandy Loam,0.7,38.0,157,77,85,6.1,9.29
Wheat,Sandy Loam,0.38,19.0,156,58,50,11.6,6.72
Maize,Clay Loam,0.49,31.4,144,78,84,14.1,7.73
Alfalfa,Silt Loam,0.82,19.4,24,67,126,16.6,5.73
Cotton,Clay Loam,0.62,23.0,135,54,100,2.5,4.93
Maize,Silt Loam,0.74,53.6,126,73,70,13.8,9.3
Wheat,Silt Loam,0.75,23.4,143,41,64,14.5,8.77
Alfalfa,Silt Loam,0.67,32.7,43,78,119,16.5,6.09
Maize,Sandy Loam,0.48,44.0,136,82,64,15.2,7.77
Maize,Silt Loam,0.83,42.8,131,62,67,18.5,9.28
Wheat,Clay Loam,0.8,43.0,103,51,59,18.9,8.49
Wheat,Sandy Loam,0.47,47.7,159,50,77,4.5,8.23
Wheat,Sandy Loam,0.82,16.8,109,68,60,19.2,7.96
Wheat,Silt Loam,0.53,42.0,125,64,66,18.8,8.43
Alfalfa,Clay Loam,0.6,45.2,33,73,106,14.0,6.18
Maize,Sandy Loam,0.51,17.4,125,53,77,17.8,6.74
Maize,Sandy Loam,0.46,35.4,199,68,102,14.0,7.61
Wheat,Silt Loam,0.35,24.9,122,43,59,4.4,6.92
Alfalfa,Clay Loam,0.79,39.3,38,80,123,21.8,6.36
Maize,Silt Loam,0.82,15.5,188,61,95,10.0,8.77
Alfalfa,Silt Loam,0.74,54.1,35,72,114,7.0,6.13
Wheat,Silt Loam,0.4,27.6,129,49,79,22.1,7.39
Alfalfa,Silt Loam,0.75,24.3,39,91,128,23.4,5.83
Alfalfa,Sandy Loam,0.4,17.8,33,92,135,5.5,4.53
Wheat,Clay Loam,0.46,20.9,121,62,75,15.2,6.97
Alfalfa,Sandy Loam,0.55,43.1,37,87,127,2.9,5.52
Wheat,Silt Loam,0.54,19.8,118,59,74,3.9,7.55
Wheat,Silt Loam,0.57,35.7,156,58,52,14.0,8.35
Maize,Sandy Loam,0.69,43.2,140,80,86,9.4,8.5
Wheat,Silt Loam,0.64,21.0,153,52,88,21.3,7.67
Alfalfa,Silt Loam,0.82,50.3,27,66,93,7.6,6.71
Alfalfa,Silt Loam,0.81,26.9,21,84,96,23.8,5.97
Cotton,Silt Loam,0.8,36.6,112,50,86,18.5,5.71
Maize,Clay Loam,0.44,29.3,133,66,63,6.4,6.59
Cotton,Silt Loam,0.36,20.6,123,63,94,15.1,4.33
Cotton,Silt Loam,0.73,15.5,115,40,93,7.0,5.13
Cotton,Silt Loam,0.46,36.3,139,60,106,18.0,4.8
Maize,Sandy Loam,0.59,41.1,191,59,92,5.4,8.5
Alfalfa,Clay Loam,0.55,41.2,27,82,100,12.1,5.69
Cotton,Sandy Loam,0.37,30.1,123,43,86,20.6,4.49
Alfalfa,Sandy Loam,0.79,31.4,41,90,116,10.5,6.44
Alfalfa,Clay Loam,0.79,47.4,25,92,127,20.1,6.76
Cotton,Sandy Loam,0.8,22.6,108,63,112,24.6,5.78
Maize,Sandy Loam,0.56,48.8,137,56,106,18.0,8.77
Maize,Silt Loam,0.38,47.0,169,61,71,8.0,8.18
Maize,Silt Loam,0.58,54.6,172,81,96,19.7,9.15
Cotton,Silt Loam,0.73,35.9,121,52,81,23.3,5.4
Wheat,Clay Loam,0.44,41.4,104,54,73,14.7,7.77
Cotton,Clay Loam,0.81,51.8,92,61,119,8.6,6.56
Wheat,Clay Loam,0.61,52.1,147,46,53,2.7,8.43
Wheat,Clay Loam,0.56,17.5,157,50,67,20.2,7.43
Alfalfa,Clay Loam,0.66,24.0,38,85,126,16.1,5.92
Maize,Silt Loam,0.45,53.0,196,75,80,14.4,8.28
Cotton,Clay Loam,0.6,28.5,128,58,93,12.5,4.5
Maize,Clay Loam,0.53,43.8,144,53,109,12.2,8.09
Cotton,Sandy Loam,0.58,26.0,115,47,118,24.7,5.29
Alfalfa,Sandy Loam,0.42,35.1,46,82,136,16.7,4.73
Maize,Clay Loam,0.41,44.6,191,83,68,19.7,7.55
Alfalfa,Sandy Loam,0.37,54.4,42,88,136,9.8,5.68
Cotton,Sandy Loam,0.62,35.6,134,57,81,17.9,5.47
Alfalfa,Clay Loam,0.48,23.5,21,91,139,3.9,5.1
Wheat,Silt Loam,0.81,43.7,136,47,70,4.4,9.05
Maize,Sandy Loam,0.46,17.9,124,74,85,18.5,6.65
Cotton,Silt Loam,0.52,15.6,120,64,87,3.3,4.53
Wheat,Sandy Loam,0.83,16.0,146,48,60,24.8,8.82
Cotton,Clay Loam,0.43,51.4,110,61,116,23.6,5.41
Cotton,Silt Loam,0.54,33.8,92,52,107,11.8,5.13
Cotton,Clay Loam,0.84,17.4,122,50,92,13.2,5.64
Wheat,Sandy Loam,0.46,40.8,144,44,56,9.7,7.71
Maize,Sandy Loam,0.53,36.0,189,57,83,15.8,7.91
Alfalfa,Clay Loam,0.83,41.2,29,82,95,24.6,6.15
Cotton,Sandy Loam,0.73,39.1,123,57,91,10.0,5.08
Alfalfa,Silt Loam,0.48,32.1,35,63,118,10.9,4.83
Maize,Silt Loam,0.84,35.9,137,67,72,5.2,9.32
Maize,Sandy Loam,0.41,40.6,136,81,73,24.8,7.48
Maize,Clay Loam,0.72,54.8,130,84,74,20.8,8.74
Cotton,Sandy Loam,0.41,31.6,129,42,112,6.3,4.76
Alfalfa,Clay Loam,0.73,49.1,25,89,96,19.9,6.34
Cotton,Sandy Loam,0.77,42.1,134,54,106,18.0,5.91
Alfalfa,Clay Loam,0.53,50.5,20,67,130,12.7,5.76
Wheat,Silt Loam,0.68,19.8,127,54,72,22.2,7.68
Cotton,Clay Loam,0.49,31.4,103,56,103,18.1,5.12
Wheat,Sandy Loam,0.48,30.0,153,47,70,22.3,7.72
Cotton,Sandy Loam,0.62,23.7,111,62,119,14.5,5.45
Wheat,Clay Loam,0.36,15.9,114,63,75,13.9,6.71
Maize,Sandy Loam,0.44,23.1,150,51,77,23.1,6.78
Maize,Clay Loam,0.75,21.8,177,51,95,2.8,8.56
Alfalfa,Sandy Loam,0.69,27.3,33,66,112,14.9,5.21
Alfalfa,Sandy Loam,0.73,53.2,38,78,96,10.5,6.44
Wheat,Sandy Loam,0.42,30.3,131,47,61,6.7,7.6
Maize,Silt Loam,0.62,37.9,184,69,108,23.0,8.92
Maize,Sandy Loam,0.67,46.3,193,83,83,14.3,8.94
Maize,Clay Loam,0.82,50.8,124,78,107,6.4,8.9
Wheat,Clay Loam,0.49,42.9,122,41,52,5.5,7.52
Maize,Sandy Loam,0.83,20.0,185,56,105,5.7,8.93
Maize,Sandy Loam,0.4,32.2,135,70,69,9.8,7.43
Maize,Silt Loam,0.57,33.3,183,58,89,14.7,8.5
Alfalfa,Silt Loam,0.43,20.6,45,96,112,21.0,4.91
Wheat,Silt Loam,0.69,16.5,121,44,68,15.1,7.85
Cotton,Silt Loam,0.45,17.6,103,48,89,21.8,3.79
Alfalfa,Silt Loam,0.69,54.1,21,76,93,21.1,5.88
Cotton,Silt Loam,0.54,52.7,106,50,84,22.5,5.89
Wheat,Silt Loam,0.58,43.6,129,50,53,11.3,8.53
Alfalfa,Clay Loam,0.44,39.7,47,77,113,19.9,5.15
Wheat,Clay Loam,0.5,48.1,115,63,63,17.5,7.85
Maize,Silt Loam,0.46,34.9,131,65,108,21.0,7.46
Cotton,Sandy Loam,0.42,35.3,98,44,96,17.9,5.09
Alfalfa,Silt Loam,0.56,43.1,30,90,92,12.0,5.08
Alfalfa,Sandy Loam,0.52,24.0,39,66,137,10.3,5.28
Wheat,Clay Loam,0.51,23.6,147,50,70,15.7,7.38
Wheat,Sandy Loam,0.6,40.8,138,48,77,6.8,8.23
Maize,Clay Loam,0.41,42.6,199,56,89,18.8,8.01
Alfalfa,Silt Loam,0.56,22.8,44,87,128,11.6,5.36
Cotton,Silt Loam,0.36,44.3,114,64,83,15.7,5.13
Cotton,Clay Loam,0.82,34.8,96,51,114,4.0,5.82
Maize,Clay Loam,0.39,34.3,149,65,71,22.6,7.15
Maize,Sandy Loam,0.43,15.3,179,78,81,11.7,7.29
Cotton,Clay Loam,0.6,16.3,109,54,86,3.6,4.79
Alfalfa,Sandy Loam,0.65,30.7,40,76,109,4.7,5.57
Cotton,Sandy Loam,0.8,51.8,103,43,100,14.3,6.72
Wheat,Sandy Loam,0.48,24.2,110,61,78,7.7,7.96
Maize,Sandy Loam,0.39,52.7,140,68,75,19.8,7.83
Cotton,Silt Loam,0.46,53.1,105,61,99,24.0,5.03
Wheat,Sandy Loam,0.42,46.4,120,45,73,9.6,7.19
Alfalfa,Clay Loam,0.42,47.5,37,71,104,17.5,5.28
Wheat,Clay Loam,0.6,49.5,157,60,69,17.4,8.64
Wheat,Silt Loam,0.6,23.3,125,67,83,5.7,8.14
Wheat,Sandy Loam,0.42,28.3,153,69,60,12.5,7.5
Cotton,Clay Loam,0.77,21.8,113,46,87,9.3,4.85
Maize,Clay Loam,0.73,41.0,195,59,93,6.1,9.23
Cotton,Silt Loam,0.6,44.9,125,50,102,14.9,5.42
Alfalfa,Sandy Loam,0.6,23.1,38,95,95,3.6,5.24
Cotton,Silt Loam,0.78,49.0,100,56,102,13.8,6.25
Cotton,Clay Loam,0.44,52.0,129,40,109,4.4,5.62
Cotton,Sandy Loam,0.53,40.8,124,43,89,23.8,5.5
Cotton,Clay Loam,0.59,49.8,91,62,90,11.5,5.7
Alfalfa,Clay Loam,0.35,22.5,44,98,91,17.9,4.27
Alfalfa,Sandy Loam,0.79,46.0,33,94,125,3.9,6.33
Cotton,Sandy Loam,0.37,33.0,91,40,80,21.9,4.39
Wheat,Clay Loam,0.45,47.1,132,49,58,19.3,7.76
Wheat,Clay Loam,0.82,52.3,131,51,65,7.2,9.1
Alfalfa,Sandy Loam,0.52,18.1,44,67,113,11.0,4.59
Cotton,Sandy Loam,0.47,19.0,95,42,97,20.6,4.98
Alfalfa,Silt Loam,0.39,41.2,43,74,116,13.2,5.37
Cotton,Clay Loam,0.68,16.1,128,52,114,12.7,5.38
Alfalfa,Clay Loam,0.38,31.8,25,70,127,15.4,4.79
Maize,Sandy Loam,0.59,33.8,148,78,64,8.0,8.54
Maize,Silt Loam,0.61,39.4,171,83,101,6.4,9.14
Alfalfa,Silt Loam,0.78,28.7,27,73,123,8.1,5.58
Alfalfa,Sandy Loam,0.71,54.3,44,86,97,18.4,6.18
Cotton,Clay Loam,0.71,45.5,120,44,85,23.6,6.14
Wheat,Sandy Loam,0.72,34.6,116,40,78,11.9,8.71
Wheat,Sandy Loam,0.69,27.6,115,41,67,18.9,8.56
Alfalfa,Silt Loam,0.64,46.4,23,63,128,5.9,5.7
Alfalfa,Silt Loam,0.81,18.4,24,82,125,8.2,5.46
Cotton,Silt Loam,0.61,26.1,105,46,97,6.8,5.1
Alfalfa,Clay Loam,0.63,54.2,49,70,111,3.7,6.11
Alfalfa,Sandy Loam,0.63,29.1,27,63,139,15.9,5.43
Alfalfa,Silt Loam,0.45,34.5,28,80,92,11.2,4.86
Alfalfa,Silt Loam,0.79,26.3,35,69,120,20.5,5.76
Alfalfa,Sandy Loam,0.55,49.6,34,68,96,23.6,5.76
Cotton,Sandy Loam,0.52,48.2,124,50,111,22.5,5.59
Alfalfa,Clay Loam,0.54,54.9,22,72,130,24.5,5.75
Maize,Silt Loam,0.81,43.5,124,75,107,11.7,9.15
Wheat,Silt Loam,0.49,16.3,122,52,82,13.9,7.4
Maize,Silt Loam,0.53,52.4,166,54,79,15.0,8.81
Cotton,Clay Loam,0.58,40.5,119,53,101,8.9,5.63
Maize,Sandy Loam,0.55,53.2,143,55,76,23.1,8.72
Cotton,Sandy Loam,0.68,29.2,123,50,90,24.2,5.01
Maize,Clay Loam,0.55,34.2,175,50,80,24.4,8.25
Maize,Sandy Loam,0.7,42.7,155,78,105,9.5,9.06
Alfalfa,Clay Loam,0.51,40.3,24,79,94,24.6,5.5
Cotton,Clay Loam,0.52,32.4,105,40,95,9.7,5.03
Maize,Clay Loam,0.49,44.5,197,73,70,2.7,7.9
Wheat,Silt Loam,0.68,29.8,118,57,55,6.9,8.23
Cotton,Clay Loam,0.49,28.4,122,62,88,16.7,4.62
Maize,Sandy Loam,0.51,45.6,174,75,97,2.4,8.47
Alfalfa,Clay Loam,0.39,41.8,43,91,119,5.2,5.34
Maize,Sandy Loam,0.65,52.1,198,72,95,11.2,9.1
Maize,Silt Loam,0.55,22.5,167,79,74,16.4,8.14
Wheat,Silt Loam,0.67,30.9,149,42,85,11.7,8.4
Cotton,Clay Loam,0.71,38.4,138,51,101,22.8,5.63
Cotton,Clay Loam,0.67,35.9,129,49,97,9.3,5.43
Maize,Sandy Loam,0.75,36.2,174,52,92,17.7,9.33
Maize,Silt Loam,0.75,41.1,177,56,74,7.3,9.03
Alfalfa,Sandy Loam,0.72,37.3,49,89,97,22.3,5.78
Cotton,Silt Loam,0.52,16.7,131,57,97,11.2,4.69
Maize,Clay Loam,0.4,39.8,163,73,63,5.8,8.12
Cotton,Sandy Loam,0.49,39.6,112,52,88,24.5,4.97
Cotton,Silt Loam,0.37,43.0,135,53,117,2.5,5.37
Cotton,Clay Loam,0.58,28.6,118,42,89,12.8,4.95
Maize,Sandy Loam,0.43,50.8,191,74,90,7.3,8.27
Maize,Clay Loam,0.62,21.8,163,72,106,20.8,8.5
Cotton,Silt Loam,0.75,37.5,133,49,113,3.8,5.47
Alfalfa,Sandy Loam,0.62,53.1,37,99,139,6.2,6.68
Maize,Sandy Loam,0.44,28.2,191,52,68,14.4,7.69
Wheat,Clay Loam,0.53,45.1,144,47,80,16.3,8.4
Wheat,Silt Loam,0.79,24.4,102,53,79,3.7,7.85
Maize,Clay Loam,0.77,45.6,181,60,68,10.7,9.84
Cotton,Silt Loam,0.7,36.1,136,43,88,8.6,5.11
Wheat,Silt Loam,0.38,51.2,152,67,64,20.2,8.15
Alfalfa,Silt Loam,0.68,51.4,21,81,137,4.1,6.93
Cotton,Clay Loam,0.68,36.4,135,47,99,15.7,5.74
Wheat,Clay Loam,0.67,24.7,139,65,55,2.5,8.45
Alfalfa,Clay Loam,0.73,52.6,47,71,132,11.8,5.88
Wheat,Silt Loam,0.46,25.7,103,42,74,7.4,7.12
Alfalfa,Silt Loam,0.72,44.4,27,96,92,3.7,6.2
Wheat,Silt Loam,0.68,46.8,141,48,55,19.3,8.64
Wheat,Clay Loam,0.67,49.4,132,60,83,24.6,8.57
Alfalfa,Silt Loam,0.38,30.2,28,61,108,2.1,4.53
Cotton,Silt Loam,0.41,48.7,91,58,89,19.2,5.13
Cotton,Sandy Loam,0.69,42.2,110,62,117,14.7,5.76
Wheat,Clay Loam,0.79,27.4,104,46,59,14.6,8.56
Cotton,Sandy Loam,0.75,44.2,109,52,90,12.7,5.22
Maize,Clay Loam,0.66,34.9,187,68,96,10.4,8.76
Cotton,Sandy Loam,0.43,31.2,117,55,83,22.7,4.53
Wheat,Sandy Loam,0.56,36.6,124,57,55,15.3,7.94
Alfalfa,Clay Loam,0.47,46.0,37,68,94,7.5,5.23
Alfalfa,Clay Loam,0.53,34.3,41,67,107,8.7,5.44
Alfalfa,Sandy Loam,0.42,39.9,29,68,106,12.6,4.99
Wheat,Clay Loam,0.54,54.6,145,41,59,9.0,8.65
Alfalfa,Silt Loam,0.35,45.4,35,72,92,19.5,4.88
Cotton,Clay Loam,0.66,37.0,123,51,103,20.0,5.47
Alfalfa,Sandy Loam,0.7,39.9,46,93,122,13.4,6.02
Maize,Silt Loam,0.58,52.5,125,68,81,4.5,8.6
Wheat,Clay Loam,0.37,46.7,123,47,66,15.7,8.12
Maize,Sandy Loam,0.72,31.1,144,56,106,3.6,8.67
Maize,Sandy Loam,0.44,29.4,129,64,96,10.8,7.4
Maize,Clay Loam,0.73,28.6,181,63,69,11.8,9.2
Alfalfa,Sandy Loam,0.66,20.8,22,74,113,21.2,5.37
Wheat,Clay Loam,0.56,39.7,118,53,52,17.3,8.25
Alfalfa,Sandy Loam,0.52,50.4,39,81,95,17.3,5.71
Alfalfa,Sandy Loam,0.67,39.6,39,74,115,14.7,5.86
Cotton,Silt Loam,0.67,51.7,111,53,108,16.8,5.99
Maize,Sandy Loam,0.48,30.7,147,58,66,16.9,7.43
Alfalfa,Clay Loam,0.79,36.9,45,91,118,8.6,6.55
Alfalfa,Silt Loam,0.79,42.8,39,88,106,7.6,6.5
Maize,Silt Loam,0.57,19.5,182,65,84,5.2,7.36
